n,alpha,beta,tempo_execucao_s,resposta
10,0.1,0.0,0.0014651760002379888,sim
10,0.1,0.25,0.0012751939998452144,sim
10,0.1,0.5,0.0011628219999693101,sim
10,0.1,0.75,0.001033358999848133,sim
10,0.1,1.0,0.0016838429996823834,sim
10,0.3,0.0,0.002047472999947786,sim
10,0.3,0.25,0.0019092759998784459,sim
10,0.3,0.5,0.0019011019999197742,sim
10,0.3,0.75,0.002029705000040849,sim
10,0.3,1.0,0.001966611999705492,sim
10,0.5,0.0,0.0017402639996362268,não
10,0.5,0.25,0.0019087779996880272,sim
10,0.5,0.5,0.001979238999865629,sim
10,0.5,0.75,0.0016002639999896928,sim
10,0.5,1.0,0.0016149879998010874,sim
10,0.7,0.0,0.0015166100001806626,não
10,0.7,0.25,0.001601581000159058,não
10,0.7,0.5,0.0014453859998866392,não
10,0.7,0.75,0.001444361999801913,não
10,0.7,1.0,0.0012989130000278237,não
10,0.9,0.0,0.0013996479997331335,não
10,0.9,0.25,0.0011905900000783731,não
10,0.9,0.5,0.0016284270000141987,não
10,0.9,0.75,0.001881516000139527,não
10,0.9,1.0,0.0018605089999255142,não
50,0.1,0.0,0.01386482900034025,sim
50,0.1,0.25,0.018428673000016715,sim
50,0.1,0.5,0.010462394000114728,sim
50,0.1,0.75,0.019087125999703858,sim
50,0.1,1.0,0.009218251000220334,sim
50,0.3,0.0,0.01470544699986931,sim
50,0.3,0.25,0.010228384000129154,sim
50,0.3,0.5,0.008682604000114225,sim
50,0.3,0.75,0.017615371999909257,sim
50,0.3,1.0,0.009969501000341552,sim
50,0.5,0.0,0.013936800000010408,sim
50,0.5,0.25,0.013109974999679253,não
50,0.5,0.5,0.009025718999964738,sim
50,0.5,0.75,0.018181689999892114,não
50,0.5,1.0,0.01928210799997032,não
50,0.7,0.0,0.005095733999951335,não
50,0.7,0.25,0.0054665119996570866,não
50,0.7,0.5,0.003114441999969131,não
50,0.7,0.75,0.007454837999830488,não
50,0.7,1.0,0.003880030999880546,não
50,0.9,0.0,0.004121926000152598,não
50,0.9,0.25,0.0032872120000320137,não
50,0.9,0.5,0.002415802000086842,não
50,0.9,0.75,0.003505278000375256,não
50,0.9,1.0,0.0034639820000847976,não
100,0.1,0.0,0.12728411900025094,sim
100,0.1,0.25,0.11956958200016743,sim
100,0.1,0.5,0.12346951000017725,sim
100,0.1,0.75,0.11947004600006039,sim
100,0.1,1.0,0.1196973229998548,sim
100,0.3,0.0,0.11993916600022203,sim
100,0.3,0.25,0.1255739180001001,sim
100,0.3,0.5,0.12227515799986577,sim
100,0.3,0.75,0.12325283400014087,sim
100,0.3,1.0,0.13918659099999786,sim
100,0.5,0.0,0.12850966700034405,não
100,0.5,0.25,0.12200743199991848,sim
100,0.5,0.5,0.11699318699993455,sim
100,0.5,0.75,0.1167710210002042,sim
100,0.5,1.0,0.11799526699996932,sim
100,0.7,0.0,0.007701160999658896,não
100,0.7,0.25,0.015147965000323893,não
100,0.7,0.5,0.03035100399984003,não
100,0.7,0.75,0.019759413999963726,não
100,0.7,1.0,0.010376747000009345,não
100,0.9,0.0,0.008382547000110208,não
100,0.9,0.25,0.008015053000235639,não
100,0.9,0.5,0.014505294000173308,não
100,0.9,0.75,0.008887728999980027,não
100,0.9,1.0,0.010142034999716998,não
200,0.1,0.0,1.7822567970001728,sim
200,0.1,0.25,1.777618841000276,sim
200,0.1,0.5,1.7789231320002727,sim
200,0.1,0.75,1.7786407419998795,sim
200,0.1,1.0,1.8396226479999314,sim
200,0.3,0.0,1.79448467300017,sim
200,0.3,0.25,1.7950107599999683,sim
200,0.3,0.5,1.7914718170000015,sim
200,0.3,0.75,1.7928559950000817,sim
200,0.3,1.0,1.8008431889998064,sim
200,0.5,0.0,1.8046588619999966,não
200,0.5,0.25,1.7086630980002155,sim
200,0.5,0.5,1.7766962939999758,sim
200,0.5,0.75,1.7747832830000334,sim
200,0.5,1.0,1.8012868010000602,não
200,0.7,0.0,0.032465150999996695,não
200,0.7,0.25,0.03951952399984293,não
200,0.7,0.5,0.032004434000100446,não
200,0.7,0.75,0.033233518000088225,não
200,0.7,1.0,0.033790487999795005,não
200,0.9,0.0,0.03853529000025446,não
200,0.9,0.25,0.036271566999857896,não
200,0.9,0.5,0.038175939000211656,não
200,0.9,0.75,0.03844039099976726,não
200,0.9,1.0,0.03731405000007726,não
