grafo,algoritmo,fluxo_maximo,tempo_ms,iteracoes,operacoes,num_vertices
matching,bfs,839,123,839,6971405,2002
matching,dfs,839,129,839,1301652,2002
matching,fattest_path,839,199,839,2380611,2002
random_level,bfs,1390,257,994,12280593,1602
random_level,dfs,1390,274,856,3156781,1602
random_level,fattest_path,1390,84,125,831251,1602
mesh,bfs,1397,121,843,5975490,902
mesh,dfs,1397,149,742,1815980,902
mesh,fattest_path,1397,56,132,546683,902
basic_line,bfs,1633,176,718,8660266,1602
basic_line,dfs,1633,221,831,2425324,1602
basic_line,fattest_path,1633,105,116,1036576,1602
goldbad,bfs,1000,598,1000,17020003,3003
goldbad,dfs,1000,828,1000,8025032,3003
goldbad,fattest_path,1000,1488,1000,11022003,3003
expline,bfs,5152,12,46,568922,1602
expline,dfs,5152,3,35,40159,1602
expline,fattest_path,5152,2,35,38343,1602
